algorithm,parameters,dataset,count,qps,distcomps,build,indexsize,queriessize,mean_ssd_ios,mean_latency,track,recall/ap
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 1}))",random-filter-s,10,22170.852252604647,0.0,1000000.0,61848.0,2.789608594894409,0,0,filter,0.9147000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 2}))",random-filter-s,10,16769.636124471737,0.0,1000000.0,61848.0,3.6880943355560305,0,0,filter,0.9701000000000001
faiss,"Faiss(('IVF1024,SQ8', {'nprobe': 4}))",random-filter-s,10,10978.330231669428,0.0,1000000.0,61848.0,5.633643613815307,0,0,filter,0.9759
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0001}))",yfcc-10M,10,2310.2925055120086,0.0,1000000.0,2931792.0,1269.01333619236,0,0,filter,0.482366
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.0003}))",yfcc-10M,10,2103.845320772679,0.0,1000000.0,2931792.0,1393.5397108582304,0,0,filter,0.5379240000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0001}))",yfcc-10M,10,2238.823772016634,0.0,1000000.0,2931792.0,1309.5233473241044,0,0,filter,0.6253599999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.0003}))",yfcc-10M,10,2069.2049047159257,0.0,1000000.0,2931792.0,1416.8688626815797,0,0,filter,0.673125
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0001}))",yfcc-10M,10,4628.674098295296,0.0,1000000.0,2931792.0,633.3978019925308,0,0,filter,0.78061
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 1, 'mt_threshold': 0.01}))",yfcc-10M,10,1013.1538026732587,0.0,1000000.0,2931792.0,2893.7284667582703,0,0,filter,0.7835880000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.0003}))",yfcc-10M,10,2204.4948273233563,0.0,1000000.0,2931792.0,1329.915572339859,0,0,filter,0.8174239999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0001}))",yfcc-10M,10,3952.458070748093,0.0,1000000.0,2931792.0,741.7642255835724,0,0,filter,0.847014
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 4, 'mt_threshold': 0.01}))",yfcc-10M,10,1011.7236962570572,0.0,1000000.0,2931792.0,2897.818851971512,0,0,filter,0.862773
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.0003}))",yfcc-10M,10,1744.0165088928456,0.0,1000000.0,2931792.0,1681.0574814232637,0,0,filter,0.877257
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0001}))",yfcc-10M,10,3035.8644083479903,0.0,1000000.0,2931792.0,965.7190195774841,0,0,filter,0.901073
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.0003}))",yfcc-10M,10,1504.7094350483176,0.0,1000000.0,2931792.0,1948.410724164734,0,0,filter,0.9240959999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0001}))",yfcc-10M,10,2473.829529639007,0.0,1000000.0,2931792.0,1185.1228893802643,0,0,filter,0.926014
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 16, 'mt_threshold': 0.01}))",yfcc-10M,10,995.2675303051709,0.0,1000000.0,2931792.0,2945.7325902122498,0,0,filter,0.9367110000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.0003}))",yfcc-10M,10,1366.0444501835432,0.0,1000000.0,2931792.0,2146.190777032242,0,0,filter,0.9448719999999999
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 32, 'mt_threshold': 0.01}))",yfcc-10M,10,973.980141728872,0.0,1000000.0,2931792.0,3010.1147594199374,0,0,filter,0.9623430000000001
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 64, 'mt_threshold': 0.01}))",yfcc-10M,10,939.0596392059423,0.0,1000000.0,2931792.0,3122.0509087996675,0,0,filter,0.979552
faiss,"Faiss(('IVF16384,SQ8', {'nprobe': 96, 'mt_threshold': 0.01}))",yfcc-10M,10,904.2431576714417,0.0,1000000.0,2931792.0,3242.260640987091,0,0,filter,0.9861280000000001
